City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Necochea,AR,-38.55,-58.74,12.8,90,98,5.86,overcast clouds
Gasa,BT,31.50,34.47,21.62,64,0,4.21,clear sky
Kerema,PG,-7.96,145.78,28.98,73,21,3.42,few clouds
Mantua,CU,45.17,10.78,21.82,84,35,0.89,scattered clouds
Remontnoye,RU,46.56,43.65,10.23,89,28,6.21,scattered clouds
Port keats,AU,-14.25,129.55,30.29,51,5,3.38,clear sky
Iqaluit,CA,63.75,-68.51,0.85,80,90,2.68,overcast clouds
Ostersund,SE,63.18,14.64,6.25,93,90,2.57,overcast clouds
Lufilufi,WS,-13.87,-171.60,28.88,76,22,4.3,light rain
Rosario do sul,BR,-30.26,-54.91,13.28,91,0,3.23,clear sky
Kiama,AU,-34.68,150.87,16.32,52,54,6.12,broken clouds
Urumita,CO,10.56,-73.01,24.12,95,100,2.1,overcast clouds
Vao,NC,-22.67,167.48,20.17,59,100,4.81,overcast clouds
Zhigalovo,RU,54.81,105.16,2.66,73,100,2.45,overcast clouds
Fereydun kenar,IR,36.69,52.52,23.46,79,93,2.01,overcast clouds
Krechevitsy,RU,58.62,31.40,8.72,93,100,4.42,overcast clouds
Lethem,GY,3.38,-59.80,27.53,65,75,0.71,broken clouds
Panzhihua,CN,26.59,101.71,21.84,86,97,0.71,overcast clouds
Yunjinghong,CN,nan,nan,,,,,
Talnakh,RU,69.49,88.40,-0.11,67,100,0.78,overcast clouds
Manggar,ID,-2.88,108.27,28.82,71,99,2.34,overcast clouds
Khilok,RU,51.37,110.47,2.59,93,100,3.68,overcast clouds
Siloam springs,US,36.19,-94.54,23.46,45,1,0,clear sky
La ronge,CA,55.10,-105.28,18.12,51,40,1.54,scattered clouds
Melfi,TD,41.00,15.65,16.89,46,99,1.82,overcast clouds
Rajgarh,IN,28.63,75.38,26.84,77,0,2.85,clear sky
Tecoanapa,MX,16.52,-98.75,27.68,81,100,2.26,overcast clouds
Gusinoye ozero,RU,51.11,106.26,4.62,71,99,3.36,overcast clouds
Koupela,BF,12.18,-0.35,26.16,67,17,3.38,few clouds
Forestville,CA,38.85,-76.88,19.18,80,1,2.57,clear sky
San ignacio,BO,17.16,-89.07,24.08,94,0,2.06,clear sky
Yongan,CN,39.70,113.69,14.71,84,100,1.64,overcast clouds
Itoman,JP,26.12,127.67,29.21,84,40,3.6,scattered clouds
Kirkwall,GB,58.98,-2.96,15.19,92,5,4.12,clear sky
Mogadishu,SO,2.04,45.34,25.38,84,96,7.64,overcast clouds
Maghama,MR,nan,nan,,,,,
Cap-aux-meules,CA,47.38,-61.86,17.03,88,90,8.75,overcast clouds
Rocha,UY,-34.48,-54.33,12.91,97,65,0.52,broken clouds
Alofi,NU,-19.06,-169.92,25.94,53,4,3.09,clear sky
Benghazi,LY,32.12,20.07,23.01,65,0,4.57,clear sky
Kahului,US,20.89,-156.47,31.01,72,40,8.75,scattered clouds
Falaleu,WF,nan,nan,,,,,
Morros,BR,-9.45,-46.30,28.82,33,92,0.72,overcast clouds
Krasnoselkup,RU,65.70,82.47,-0.99,89,6,4.06,clear sky
Ranfurly,NZ,-45.13,170.10,10.36,63,88,5.17,overcast clouds
Chiredzi,ZW,-21.05,31.67,16.79,54,0,1.5,clear sky
Kamenskoye,RU,nan,nan,,,,,
Vardo,NO,70.37,31.11,7.77,87,74,3.94,broken clouds
Dunedin,NZ,-45.87,170.50,9.33,58,72,0.89,broken clouds
Chornobay,UA,49.67,32.32,14.54,84,100,7.14,overcast clouds
Ambagarh chauki,IN,20.78,80.72,23.92,92,100,1.55,overcast clouds
San jose,GT,37.34,-121.89,25.49,59,90,5.66,smoke
Champerico,GT,14.30,-91.92,28.53,73,100,1.66,overcast clouds
Santa luzia,BR,-19.77,-43.85,21.6,60,0,5.14,clear sky
Valer,NO,60.68,11.83,5.28,80,68,1.35,broken clouds
Kathmandu,NP,27.72,85.32,19.12,100,75,2,broken clouds
Nizwa,OM,22.93,57.53,27.66,40,98,0.76,overcast clouds
Rawson,AR,-43.30,-65.10,18,31,61,10.8,broken clouds
Wuwei,CN,37.93,102.64,18.17,40,100,2.39,overcast clouds
Constitucion,CL,-35.33,-72.42,10.66,91,0,3.01,clear sky
Pacific grove,US,36.62,-121.92,25.08,84,20,1.34,few clouds
Santa marinella,IT,42.03,11.85,22.17,69,70,3.53,broken clouds
Telde,ES,27.99,-15.42,22.12,72,40,0.89,scattered clouds
Ruatoria,NZ,nan,nan,,,,,
Kayes,ML,14.00,-11.00,23.63,86,23,2.03,few clouds
Ituiutaba,BR,-18.97,-49.47,28.72,26,15,1.86,few clouds
Moose factory,CA,51.26,-80.61,11,82,90,4.12,moderate rain
Lichuan,CN,30.30,108.85,22.12,78,11,2,few clouds
Avera,PF,33.19,-82.53,20.4,55,0,1.32,clear sky
Namatanai,PG,-3.67,152.43,28.46,75,88,3.35,light rain
Kontagora,NG,10.40,5.47,22.22,94,99,1.94,overcast clouds
Jiblah,YE,13.92,44.15,17.63,54,100,1.1,overcast clouds
Hamilton,BM,39.18,-84.53,16.03,70,5,1.24,clear sky
Mitu,CO,1.20,-70.17,21.56,96,83,0.88,broken clouds
Popondetta,PG,-8.75,148.25,32.83,46,7,1.93,clear sky
Vestmannaeyjar,IS,63.44,-20.27,4.83,78,100,2.13,overcast clouds
Gay,RU,51.47,58.46,10.29,31,100,1.53,light rain
Kieta,PG,-6.22,155.63,28.71,74,16,2.04,light rain
Dayong,CN,25.02,118.29,27.82,72,0,1.43,clear sky
Roma,AU,43.21,-75.46,18.92,83,75,2.57,broken clouds
Machaneng,BW,-23.19,27.49,20.01,35,1,3.35,clear sky
Shenkursk,RU,62.11,42.90,6.46,95,100,2.89,overcast clouds
Krasnoarmeysk,KZ,51.02,45.70,10.72,84,98,2.88,overcast clouds
Zhicheng,CN,30.30,111.50,26.08,80,17,1.83,light rain
Najran,SA,17.49,44.13,21.36,19,7,1.55,clear sky
Kozhanka,UA,49.98,29.74,14.82,85,100,5.91,overcast clouds
Pokhara,NP,28.23,83.98,21.6,83,96,0.93,overcast clouds
Anadyr,RU,64.75,177.48,0.28,74,40,3.58,scattered clouds
Yangambi,CD,0.81,24.43,19.27,98,94,0.85,overcast clouds
Kangaatsiaq,GL,68.31,-53.46,-3.89,70,11,4.25,few clouds
Vaitupu,WF,nan,nan,,,,,
Haibowan,CN,nan,nan,,,,,
Agaro,ET,7.85,36.65,15.19,99,95,0.51,light rain
Saskylakh,RU,71.92,114.08,0.41,87,100,7.84,overcast clouds
Tucuman,AR,-26.82,-65.22,23,43,0,1.54,clear sky
Farafangana,MG,-22.82,47.83,19.87,86,54,0.82,light rain
Ritchie,ZA,-29.04,24.60,13.56,13,96,1.24,overcast clouds
Farmersville,US,36.30,-119.21,30.5,32,1,1.54,clear sky
Hammerfest,NO,70.66,23.68,7.25,87,90,4.12,overcast clouds
Vastseliina,EE,57.73,27.29,8.36,95,94,4.52,overcast clouds
Ramona,US,33.04,-116.87,26.59,74,1,2.68,clear sky
Tessalit,ML,20.20,1.01,29.42,11,0,5.44,clear sky
Guaruja,BR,-23.99,-46.26,23.42,26,15,1.4,few clouds
Muros,ES,42.78,-9.06,18.33,92,44,2.86,scattered clouds
Ulaangom,MN,49.98,92.07,3.26,46,35,2.61,scattered clouds
Nizhneudinsk,RU,54.91,99.03,2.08,80,100,1.15,overcast clouds
Vysokaya gora,RU,55.91,49.30,6.1,93,96,0.4,overcast clouds
Narsaq,GL,60.92,-46.05,2.12,57,0,3.16,clear sky
Wasilla,US,61.58,-149.44,7.65,82,40,0,scattered clouds
Nome,US,64.50,-165.41,8.04,71,40,5.66,scattered clouds
Omsukchan,RU,62.53,155.80,1.95,91,100,4.46,overcast clouds
Buala,SB,-8.14,159.59,29.62,70,44,3.01,light rain
Rudbar,IR,30.15,62.60,24.1,13,0,0.91,clear sky
Victoria,SC,22.29,114.16,29.1,76,2,0.89,clear sky
Olmos,PE,-5.98,-79.75,16.06,74,100,2.65,overcast clouds
Sawakin,SD,19.11,37.33,29.32,60,55,2.72,broken clouds
Nemuro,JP,43.32,145.57,17.24,74,79,0.99,broken clouds
Nguiu,AU,nan,nan,,,,,
Trairi,BR,-3.28,-39.27,26.19,75,10,6.42,clear sky
Lagos,PT,6.58,3.75,23.18,92,100,0.44,overcast clouds
Corning,US,42.14,-77.05,17.62,81,1,0,clear sky
Uthal,PK,25.81,66.62,28.75,70,24,1.46,few clouds
Raudeberg,NO,61.99,5.14,13.31,80,100,4.02,overcast clouds
Oistins,BB,13.07,-59.53,27.05,83,40,2.57,scattered clouds
Kluang,MY,2.03,103.33,24.85,85,100,1.87,overcast clouds
Atambua,ID,-9.11,124.89,29.03,50,85,0.41,overcast clouds
Meulaboh,ID,4.14,96.13,25.03,90,100,4.02,overcast clouds
Pangnirtung,CA,66.15,-65.71,1.41,57,88,1.74,overcast clouds
Sarangani,PH,5.40,125.46,28.36,70,100,0.48,overcast clouds
Plaiesii-de-jos,RO,nan,nan,,,,,
Tieli,CN,46.95,128.05,15.53,77,84,1.9,broken clouds
Berlevag,NO,70.86,29.09,7.76,87,99,4.17,overcast clouds
Itarema,BR,-2.92,-39.92,26.13,77,14,8.07,few clouds
Safford,US,32.83,-109.71,29.51,34,20,1.54,few clouds
Lolua,TV,nan,nan,,,,,
Labutta,MM,nan,nan,,,,,
Aden,YE,12.78,45.04,29.59,75,100,4.32,overcast clouds
Lasa,CN,46.62,10.70,16.49,95,47,1.1,scattered clouds
Sistranda,NO,63.73,8.83,11.61,84,100,5.26,overcast clouds
Marsa matruh,EG,31.35,27.25,23.11,64,40,4.12,scattered clouds
Erzin,RU,36.96,36.20,15.29,37,0,1.45,clear sky
Myskhako,RU,44.67,37.74,7.88,72,37,3.82,scattered clouds
Portel,BR,-1.94,-50.82,25.26,76,100,1.91,overcast clouds
Chicama,PE,-7.84,-79.15,15.3,82,51,3.03,broken clouds
Carndonagh,IE,55.25,-7.27,14.9,90,70,4.3,broken clouds
Mungwi,ZM,-10.17,31.37,16.47,59,2,1.89,clear sky
Hualmay,PE,-11.10,-77.61,17.6,83,100,4.7,overcast clouds
Zlonice,CZ,50.29,14.09,15.6,94,79,0.46,broken clouds
Makubetsu,JP,45.37,141.82,15.84,94,75,4.12,broken clouds
Tucurui,BR,-3.77,-49.67,27.4,60,57,1.86,broken clouds
Ulagan,RU,50.63,87.96,1.16,52,100,1.23,overcast clouds
Kijang,ID,35.24,129.21,23.85,67,100,7.63,overcast clouds
Kollam,IN,8.88,76.60,25.93,88,100,3.23,overcast clouds
Praia da vitoria,PT,38.73,-27.07,22.14,83,90,3.44,overcast clouds
Prince rupert,CA,54.32,-130.32,12.05,82,90,2.06,overcast clouds
Xuanhua,CN,40.61,115.04,16.93,78,100,2.36,overcast clouds
Abu kamal,SY,34.45,40.92,21.73,27,0,4.49,clear sky
Fort nelson,CA,58.81,-122.70,14.77,38,40,1.54,scattered clouds
Ust-nera,RU,64.57,143.20,3.95,79,96,2.39,overcast clouds
Hambantota,LK,6.12,81.12,25.19,100,20,1.54,few clouds
Nhulunbuy,AU,-12.23,136.77,31.34,48,96,4.63,overcast clouds
Burica,PA,nan,nan,,,,,
Freeport,US,40.66,-73.58,21.98,69,1,0,clear sky
Port moresby,PG,-9.44,147.18,28.68,74,40,5.14,scattered clouds
Vilhena,BR,-12.74,-60.15,28.14,42,94,2.64,overcast clouds
Iranshahr,IR,27.20,60.68,28.19,36,0,0,clear sky
Biak,ID,-0.91,122.88,27.39,72,92,3.28,overcast clouds
Urdzhar,KZ,nan,nan,,,,,
Tautira,PF,-17.73,-149.15,25.01,77,5,5,light rain
Yen bai,VN,21.70,104.87,25.29,89,61,1.29,broken clouds
Alta floresta,BR,-9.88,-56.09,26.53,62,97,1.36,overcast clouds
Attawapiskat,CA,nan,nan,,,,,
Maceio,BR,-9.67,-35.74,26.69,89,40,3.09,scattered clouds
Le vauclin,MQ,14.55,-60.84,26.03,94,75,1.03,broken clouds
Rantepao,ID,-2.97,119.90,25.08,75,55,1.11,broken clouds
Qandala,SO,11.47,49.87,31.02,56,100,0.93,overcast clouds
Handan,CN,36.60,114.47,16.71,94,100,5.37,light rain
Kleive,NO,62.80,7.64,12.18,87,90,3.6,overcast clouds
Kavaratti,IN,10.57,72.64,27.39,79,79,7.9,broken clouds
Mastic beach,US,40.77,-72.85,20.1,82,40,0,scattered clouds
Shingu,JP,33.73,135.98,24.95,94,100,4.56,overcast clouds
Coihaique,CL,-45.58,-72.07,2.97,75,40,1.54,scattered clouds
Ouahigouya,BF,13.58,-2.42,28.6,51,0,4.8,clear sky
Pucallpa,PE,-8.38,-74.55,25.02,83,75,4.12,broken clouds
Etchoropo,MX,26.77,-109.67,35.79,56,3,9.47,clear sky
Shawville,CA,45.60,-76.48,17.52,77,100,4.11,overcast clouds
Bay roberts,CA,47.60,-53.26,8.57,92,99,3.9,overcast clouds
La sarre,CA,48.80,-79.20,8.13,96,100,2.55,very heavy rain
Warrington,US,53.39,-2.58,17.08,88,20,0.45,few clouds
Puerto rondon,CO,6.28,-71.10,24.46,84,55,2.29,broken clouds
Labytnangi,RU,66.66,66.42,-1.7,90,59,1.48,broken clouds
Taldan,RU,53.67,124.80,12.97,81,100,4.33,overcast clouds
Bosaso,SO,11.28,49.18,32.52,43,100,5.8,overcast clouds
Kalmar,SE,56.66,16.36,10.54,100,72,0.51,broken clouds
Rio cuarto,AR,-33.13,-64.35,19.87,45,0,7.72,clear sky
Sorong,ID,-0.88,131.25,28.47,72,100,1.75,overcast clouds
Nantucket,US,41.28,-70.10,21.09,95,0,4.46,clear sky
Gondar,ET,12.60,37.47,12.99,80,88,1.52,light rain
Ilembula,TZ,-8.90,34.58,15.1,77,2,4.96,clear sky
Klaeng,TH,12.78,101.65,26.64,97,100,1.36,heavy intensity rain
Ostashkov,RU,57.15,33.11,7.5,96,100,3.9,light rain
Ngukurr,AU,nan,nan,,,,,
Chandausi,IN,28.45,78.77,24.85,85,10,2.3,clear sky
Montagnana,IT,45.23,11.46,20.06,89,0,1.96,clear sky
Beisfjord,NO,68.38,17.60,8.47,87,99,2.13,overcast clouds
Monrovia,LR,6.30,-10.80,25.87,87,100,3.84,moderate rain
Along,IN,28.17,94.77,23.29,93,38,0.94,scattered clouds
Grand gaube,MU,-20.01,57.66,22.22,75,2,3.58,clear sky
Civita castellana,IT,42.30,12.41,21.82,71,94,0.42,overcast clouds
Brownwood,US,31.71,-98.99,28.87,26,1,3.09,clear sky
Douentza,ML,15.00,-2.95,31.11,38,0,2.26,clear sky
Misawa,JP,40.68,141.36,20.89,73,75,5.14,broken clouds
Morant bay,JM,17.88,-76.41,29.79,81,0,3.18,clear sky
Erzincan,TR,39.75,39.50,10.61,54,20,6.17,few clouds
Svetlaya,RU,46.54,138.33,16.38,52,100,0.96,overcast clouds
Yerbogachen,RU,61.28,108.01,3.83,64,100,6.73,overcast clouds
Myitkyina,MM,25.38,97.40,26.1,75,75,0.85,light rain
Fillan,NO,63.61,8.97,11.32,85,100,4.48,overcast clouds
Bowen,AU,-20.02,148.23,25.12,58,0,5.06,clear sky
Bandrele,YT,-12.91,45.19,23.86,78,0,2.57,clear sky
Sur,OM,22.57,59.53,29.29,62,100,2.56,overcast clouds
Nioro,ML,13.35,-15.75,24.97,91,54,2.18,broken clouds
Sorvag,FO,nan,nan,,,,,
Warqla,DZ,nan,nan,,,,,
Salinopolis,BR,-0.61,-47.36,26.7,81,100,5.14,overcast clouds
Mikkeli,FI,61.69,27.27,8.06,93,90,2.57,overcast clouds
Santa fe,CU,-31.63,-60.70,18.88,57,0,0.89,clear sky
Dien bien,VN,nan,nan,,,,,
Pakwach,UG,nan,nan,,,,,
Slavsk,RU,55.04,21.68,9.7,92,6,1.61,clear sky
Dingli,MT,35.86,14.38,23.23,78,20,3.09,few clouds
Ust-maya,RU,60.42,134.53,4.85,68,99,2.37,overcast clouds
Sibolga,ID,1.74,98.78,26.11,86,100,0.77,overcast clouds
Liuzhou,CN,24.31,109.39,28.61,66,0,1.31,clear sky
Magistralnyy,RU,56.17,107.45,2.37,97,100,3.92,light rain
Zhanatas,KZ,nan,nan,,,,,
Lorengau,PG,-2.02,147.27,29.85,65,23,3.48,few clouds
Bolobo,CD,-2.17,16.23,22.34,84,21,1.17,few clouds
Bojaya,CO,nan,nan,,,,,
Bilma,NE,18.69,12.92,29.32,18,0,5.77,clear sky
Buta,CD,2.79,24.73,18.72,94,67,0.86,broken clouds
Celestun,MX,20.87,-90.40,27.87,77,66,4.68,broken clouds
Tazovskiy,RU,67.47,78.70,-0.47,83,5,2.72,clear sky
Paamiut,GL,61.99,-49.67,1.28,61,0,2.77,clear sky
Bartica,GY,6.40,-58.62,25.18,97,16,1.14,few clouds
San juan,AR,-31.54,-68.54,23.74,15,0,1.96,clear sky
Sydney,AU,-33.87,151.21,15.75,73,75,1.79,broken clouds
Karratha,AU,-20.74,116.85,25.23,32,0,6.75,clear sky
Oktyabrskoye,RU,43.06,44.74,7.08,81,75,4,broken clouds
Balsas,BR,-7.53,-46.04,29.84,37,78,2.09,broken clouds
Maragogi,BR,-9.01,-35.22,24.03,86,9,4.28,clear sky
Bucak,TR,37.46,30.59,13.29,52,0,2.27,clear sky
Groa,NO,62.65,8.72,12.05,83,53,5.49,broken clouds
Kazalinsk,KZ,nan,nan,,,,,
Saravan,LA,39.72,45.65,8.36,70,8,1.81,clear sky
Bilibino,RU,68.05,166.44,-0.67,93,100,4.2,light snow
Lima,PE,-12.04,-77.03,15.22,86,90,6.17,overcast clouds
Comodoro rivadavia,AR,-45.87,-67.50,6.92,65,75,7.72,light rain
Myrtle beach,US,33.69,-78.89,21.16,74,42,0.6,scattered clouds
Timbiqui,CO,2.77,-77.67,24.77,93,99,1.54,light rain
Cockburn town,BS,21.46,-71.14,28.53,71,0,4.32,clear sky
Jiddah,SA,nan,nan,,,,,
Jining,CN,35.41,116.58,20.44,96,100,4.06,heavy intensity rain
Margate,ZA,51.38,1.39,16.84,94,100,2.47,light rain
Zhezkazgan,KZ,47.80,67.71,9.39,30,100,5.09,overcast clouds
Stekolnyy,RU,nan,nan,,,,,
Gemena,CD,3.25,19.77,20.28,89,100,0.72,overcast clouds
Kalmunai,LK,7.42,81.82,26.37,81,100,2.49,overcast clouds
Henties bay,NA,-22.12,14.28,12.14,92,2,2.14,clear sky
Huntington,US,38.42,-82.45,16.5,91,1,2.06,clear sky
Bathsheba,BB,13.22,-59.52,27.34,83,40,2.57,scattered clouds
Goderich,SL,43.75,-81.72,14.18,67,11,3.09,few clouds
Nikolayevsk-na-amure,RU,53.14,140.73,17.22,49,56,3.03,broken clouds
Ken caryl,US,39.58,-105.12,28.65,22,14,2.25,few clouds
Mirina,GR,nan,nan,,,,,
Chernyshevskiy,RU,63.01,112.47,1.82,72,73,5.03,broken clouds
Vostok,RU,46.49,135.88,15.4,52,35,0.59,scattered clouds
Emerald,AU,-23.53,148.17,26.3,38,0,2.57,clear sky
Boves,IT,44.33,7.55,19.37,92,50,0.6,scattered clouds
Bolong,PH,7.10,122.24,28,76,70,1.58,broken clouds
Ambilobe,MG,-13.20,49.05,18.51,77,8,1.61,clear sky
Bintulu,MY,3.17,113.03,27.23,88,20,0.89,few clouds
Bargal,SO,nan,nan,,,,,
Gamba,GA,-2.65,10.00,24,89,100,1.63,overcast clouds
Severnyy-kospashskiy,RU,59.09,57.80,6.45,63,100,6.02,overcast clouds
Vila franca do campo,PT,37.72,-25.43,21.78,90,100,3.94,overcast clouds
Bella union,UY,-30.28,-57.60,14.35,80,0,3.39,clear sky
Buraydah,SA,26.33,43.98,27.25,25,0,3.85,clear sky
Acarau,BR,-2.89,-40.12,26.13,78,22,8.31,few clouds
Morden,CA,49.19,-98.10,25.24,25,98,2.57,overcast clouds
Jerome,US,42.72,-114.52,29.46,14,1,3.09,clear sky
Mirnyy,RU,62.54,113.96,1.89,73,98,5.46,overcast clouds
Diveyevo,RU,55.04,43.24,9.45,78,100,3.76,light rain
Mizdah,LY,31.45,12.98,19.83,65,0,3.22,clear sky
Manicore,BR,-5.81,-61.30,23.74,90,72,0.21,broken clouds
Baruun-urt,MN,46.68,113.28,15.24,80,100,5.99,overcast clouds
Zhireken,RU,52.82,117.31,10.19,96,100,4.84,moderate rain
Campo formoso,BR,-10.51,-40.32,21.25,78,76,5.82,broken clouds
Traverse city,US,44.76,-85.62,15.1,68,40,2.06,scattered clouds
Linguere,SN,15.40,-15.12,29.12,89,40,2.06,scattered clouds
Eureka,US,40.80,-124.16,17.89,80,71,1.6,broken clouds
Byron bay,AU,-28.65,153.62,23.36,75,86,5.67,overcast clouds
Umba,RU,66.69,34.34,7.47,95,100,2.03,overcast clouds
Korla,CN,41.76,86.15,15.64,28,6,0.71,clear sky
Callaguip,PH,18.07,120.49,29.01,74,20,2.06,few clouds
Murwillumbah,AU,-28.32,153.40,25.41,60,40,5.14,scattered clouds
Wajima,JP,37.40,136.90,19.38,100,75,2.06,mist
Killybegs,IE,54.63,-8.45,15.81,88,37,6.33,scattered clouds
La palma,PA,33.85,-118.05,30.45,67,75,2.68,broken clouds
Pokrovskoye,RU,47.42,38.90,15.45,68,100,5.55,overcast clouds
Andenes,NO,69.31,16.12,4.99,87,100,4.63,overcast clouds
Qorveh,IR,35.17,47.80,9.86,57,0,1.6,clear sky
Nelson bay,AU,-32.72,152.15,15.38,76,100,0.45,overcast clouds
Bon air,US,37.52,-77.56,17.6,84,1,0,clear sky
Kukmor,RU,56.19,50.89,7.59,84,100,0.41,overcast clouds
Semnan,IR,35.57,53.40,22,16,0,1.19,clear sky
Bac lieu,VN,9.29,105.72,26.79,83,100,2.43,overcast clouds
Dali,CN,25.70,100.18,16.98,90,92,0.9,overcast clouds
Fare,PF,-16.70,-151.02,26.26,72,2,3.18,light rain
Kirillov,RU,59.86,38.38,7.59,97,100,2.8,overcast clouds
Asuncion,PY,-25.30,-57.64,20.69,56,0,1.54,clear sky
Honningsvag,NO,70.98,25.97,8.16,84,68,7.4,light rain
Uruzgan,AF,32.83,66.00,16.87,13,0,1.82,clear sky
Estelle,US,29.85,-90.11,26,58,0,1.3,clear sky
Sayyan,YE,15.17,44.32,15.36,23,87,2.59,overcast clouds
Chadiza,ZM,-14.07,32.44,18.34,57,0,2.12,clear sky
Tamiahua,MX,21.27,-97.45,25.43,74,7,2.27,clear sky
Adre,TD,13.47,22.20,22.96,64,60,3.32,broken clouds
Tiruvottiyur,IN,nan,nan,,,,,
Ust-kuyga,RU,70.02,135.60,1.69,83,100,4.03,light rain
Ulladulla,AU,-35.35,150.47,16.04,49,6,4.04,clear sky
Mildura,AU,-34.20,142.15,16.71,41,0,4.63,clear sky
Pahrump,US,36.21,-115.98,33.39,23,12,3.13,few clouds
Vung tau,VN,10.35,107.08,26.65,81,100,2.42,overcast clouds
Belmonte,BR,-15.86,-38.88,23.28,78,16,3.55,few clouds
Acandi,CO,8.51,-77.28,25.55,91,98,1.74,overcast clouds
Qaqortoq,GL,60.72,-46.03,2.28,66,1,3.65,clear sky
Adrar,DZ,20.50,-10.07,33.43,24,97,1.56,overcast clouds
Namibe,AO,-15.20,12.15,16.76,89,59,2.69,broken clouds
Mergui,MM,nan,nan,,,,,
Matir,TN,nan,nan,,,,,
Sukhobuzimskoye,RU,56.50,93.27,1.8,80,100,3.09,overcast clouds
Karkaralinsk,KZ,nan,nan,,,,,
Coahuayana,MX,18.73,-103.68,25.71,87,100,1.39,overcast clouds
Miracema do tocantins,BR,-9.56,-48.40,27.72,54,46,2.11,scattered clouds
Zanesville,US,39.94,-82.01,15.18,81,7,2.32,clear sky
Mayo,CA,38.89,-76.51,20.05,85,100,1.1,overcast clouds
Ewa beach,US,21.32,-158.01,30.97,58,75,4.12,light rain
Fresnillo,MX,23.17,-102.88,19.36,58,47,4.15,scattered clouds
Jiuquan,CN,39.74,98.52,11.23,29,0,2.76,clear sky
Suntar,RU,62.14,117.63,3.32,71,100,4.17,overcast clouds
Baykit,RU,61.67,96.37,0.7,79,100,1.67,overcast clouds
Bangarmau,IN,26.90,80.22,25.95,90,100,2.73,overcast clouds
Doka,SD,13.52,35.77,20.29,96,100,5.77,overcast clouds
Dubbo,AU,-32.25,148.62,17.07,51,40,8.75,scattered clouds
Boa vista,BR,2.82,-60.67,29.99,62,20,1.03,few clouds
Kattivakkam,IN,13.22,80.32,26.05,72,100,1.82,overcast clouds
Charters towers,AU,-20.10,146.27,27.73,35,0,3.38,clear sky
Caloundra,AU,-26.80,153.13,25.2,72,93,3.58,overcast clouds
Soverato,IT,38.69,16.55,16.97,63,15,1.21,few clouds
Victor harbor,AU,-35.57,138.62,17.67,63,0,5.48,clear sky
Nouadhibou,MR,20.93,-17.03,20.99,88,0,6.69,clear sky
Hay river,CA,60.82,-115.80,12.99,50,20,1.03,few clouds
Asau,TV,46.43,26.40,12.64,83,0,2.48,clear sky
Sukhinichi,RU,54.10,35.34,8.76,91,60,5.28,broken clouds
San pedro de uraba,CO,8.28,-76.38,24.16,95,99,1.4,overcast clouds
Soure,BR,-0.72,-48.52,26.88,81,99,5.85,overcast clouds
Senneterre,CA,48.38,-77.23,11.12,94,100,4.32,overcast clouds
San jose del palmar,CO,4.97,-76.23,23.81,99,100,0.85,overcast clouds
Arman,RU,59.70,150.17,9.59,68,100,0.46,overcast clouds
Borivka,UA,50.46,29.55,14.94,89,46,5.41,scattered clouds
Praya,ID,14.92,-23.51,26.3,78,40,5.66,scattered clouds
Gerede,TR,40.80,32.20,5.66,83,0,1.29,clear sky
Gilleleje,DK,56.12,12.31,11.69,83,99,2.21,overcast clouds
Natal,BR,-5.79,-35.21,26.36,89,75,5.14,broken clouds
Taoudenni,ML,22.68,-3.98,33.89,8,50,4.14,scattered clouds
Petropavlovsk-kamchatskiy,RU,53.05,158.65,11.33,54,20,2,few clouds
Svetlogorsk,RU,52.63,29.73,9.02,96,19,4.6,few clouds
Zabaykalsk,RU,49.63,117.32,13.38,92,100,6.51,overcast clouds
Mocuba,MZ,-16.84,36.99,19.37,93,1,1,clear sky
Honiara,SB,-9.43,159.95,29.84,70,84,2.78,broken clouds
Zima,RU,53.92,102.04,2.6,71,88,1.36,overcast clouds
Tecpan,MX,14.76,-90.99,16.62,96,99,1.29,overcast clouds
Mutare,ZW,-18.97,32.67,12.61,66,0,1.14,clear sky
Binga,CD,-17.62,27.34,20.14,40,0,1.09,clear sky
